category_id,category_name,url,status_code,content_type,parseable,priority,notes
3,СОВЕТСКАЯ ТЕХНИКА,https://vspomniv.ru/tehnika-sssr/tanki-i-sau,200,text/html,requests+bs4,LOW,
3,СОВЕТСКАЯ ТЕХНИКА,https://en.wikipedia.org/wiki/List_of_Soviet_Navy_ships_in_World_War_II,404,text/html,dead,MED,
3,СОВЕТСКАЯ ТЕХНИКА,https://en.wikipedia.org/wiki/List_of_motor_vehicles_of_the_Soviet_Union,404,text/html,dead,MED,

3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",https://ru.wikipedia.org/wiki/Военная_форма_РККА_(1936–1945,404,text/html,dead,MED,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",https://ru.wikipedia.org/wiki/Воинские_звания_и_знаки_различия_РККА_1940–1943,404,text/html,dead,MED,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",https://ru.wikipedia.org/wiki/Воинские_категории_и_знаки_различия_РККА_1918–1935,404,text/html,dead,MED,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",https://gossluzhba.narod.ru/ranks/vz_ussr_1935_1945.html,200,text/html,requests+bs4,LOW,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",http://forma-odezhda.com,200,text/html,requests+bs4,LOW,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",http://uniforma-army.ru,200,text/html,requests+bs4,LOW,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",http://vetrabotnik.narod.ru/Modelizm/Texts/Uniform/Un001.htm,200,text/html,requests+bs4,LOW,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",http://feldwebel.ru,200,text/html,requests+bs4,LOW,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",https://ru.wikipedia.org/wiki/Военная_форма_вермахта,404,text/html,dead,MED,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",https://en.wikipedia.org/wiki/Waffen-SS_ranks,404,text/html,dead,MED,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",https://en.wikipedia.org/wiki/Uniforms_and_insignia_of_the_Waffen-SS,404,text/html,dead,MED,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",https://en.wikipedia.org/wiki/Uniforms_and_insignia_of_the_Luftwaffe,200,text/html,requests+bs4,MED,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",https://en.wikipedia.org/wiki/Uniforms_and_insignia_of_the_Kriegsmarine,200,text/html,requests+bs4,MED,
3Б,"ФОРМА, ОБМУНДИРОВАНИЕ, ЗНАКИ РАЗЛИЧИЯ",https://ushmm.org/m/pdfs/ITS-glossary-terms-abbreviations.pdf,200,application/pdf,pymupdf,LOW,

4,НЕМЕЦКАЯ ТЕХНИКА,https://en.wikipedia.org/wiki/List_of_German_military_equipment_of_World_War_II,200,text/html,requests+bs4,MED,
4,НЕМЕЦКАЯ ТЕХНИКА,https://ru.wikipedia.org/wiki/Военная_техника_Германии_периода_Второй_мировой_войны,200,text/html,requests+bs4,MED,
4,НЕМЕЦКАЯ ТЕХНИКА,https://en.wikipedia.org/wiki/List_of_World_War_II_firearms_of_Germany,200,text/html,requests+bs4,MED,
4,НЕМЕЦКАЯ ТЕХНИКА,https://en.wikipedia.org/wiki/Category:World_War_II_tanks_of_Germany,200,text/html,requests+bs4,MED,
4,НЕМЕЦКАЯ ТЕХНИКА,https://en.wikipedia.org/wiki/Category:World_War_II_self-propelled_artillery_of_Germany,200,text/html,requests+bs4,MED,
4,НЕМЕЦКАЯ ТЕХНИКА,https://en.wikipedia.org/wiki/Category:World_War_II_artillery_of_Germany,200,text/html,requests+bs4,MED,
4,НЕМЕЦКАЯ ТЕХНИКА,https://en.wikipedia.org/wiki/Category:World_War_II_aircraft_of_Germany,404,text/html,dead,MED,
4,НЕМЕЦКАЯ ТЕХНИКА,https://en.wikipedia.org/wiki/Category:World_War_II_naval_ships_of_Germany,200,text/html,requests+bs4,MED,

5,ОПЕРАЦИИ И СРАЖЕНИЯ,http://rkka.ru/oper.htm,200,text/html,requests+bs4,HIGH,
